data;estado;municipio;confirmados;obitos;populacao
44008;SP;São Paulo;121163;6880;12252023
44008;RJ;Rio de Janeiro;55152;6264;6718903
44008;DF;Brasília;36464;486;3015268
44008;CE;Fortaleza;34719;3244;2669342
44008;BA;Salvador;27666;1046;2872347
44008;AM;Manaus;26783;1747;2182763
44008;PE;Recife;20275;1781;1645727
44008;PA;Belém;18751;1889;1492745
44008;AL;Maceió;14237;569;1018948
44008;AP;Macapá;12885;245;503327
44008;SE;Aracaju;12849;247;657013
44008;MA;São Luís;12755;771;1101884
44006;RO;Porto Velho;10893;324;529544
44003;PB;João Pessoa;10466;261;809015
44007;RR;Boa Vista;9705;217;399213
44008;PA;Parauapebas;9593;111;208273
44007;RN;Natal;9234;343;884122
44008;SP;Santos;8634;348;433311
44008;SP;São Bernardo do Campo;7157;355;838936
44008;PI;Teresina;7098;335;864845
44008;SP;Campinas;6944;278;1204073
44008;ES;Serra;6926;289;517510
44008;ES;Vila Velha;6808;257;493838
44008;ES;Vitória;6676;233;362097
44007;AC;Rio Branco;6380;236;407319
44008;CE;Sobral;6168;211;208935
44008;GO;Goiânia;6111;150;1516113
44008;RJ;Niterói;6105;183;513584
44008;SP;Guarulhos;5932;656;1379182
44008;MG;Uberlândia;5827;73;691305
44008;SP;Santo André;5709;248;718773
44003;PB;Campina Grande;5557;70;409731
44008;SP;Osasco;5315;474;698418
44008;MG;Belo Horizonte;4977;109;2512070
44008;RJ;São Gonçalo;4893;394;1084839
44008;DF;Importados/Indefinidos;4862;46;
44008;ES;Cariacica;4681;224;381285
44008;PE;Jaboatão dos Guararapes;4668;522;702298
44008;PA;Ananindeua;4085;326;530598
44008;GO;Rio Verde;3976;28;235647
44008;MA;Imperatriz;3787;198;258682
44008;AM;Coari;3673;81;85097
44007;TO;Araguaína;3655;53;180470
44008;AP;Santana;3641;62;121364
44008;PE;Olinda;3631;218;392482
44008;CE;Caucaia;3520;274;361400
44008;PA;Marabá;3517;133;279349
44008;SP;Ribeirão Preto;3487;134;703293
44008;SP;Guarujá;3418;125;320459
44008;CE;Maracanaú;3397;208;227886
44008;MA;Santa Inês;3372;40;89044
44008;SP;Jundiaí;3360;158;418962
44008;MT;Cuiabá;3258;145;612547
44008;RJ;Nova Iguaçu;3205;332;821128
44008;SP;Sorocaba;3189;111;679378
44008;PA;Cametá;3127;75;137890
44008;AM;Manacapuru;3117;124;97377
44007;PR;Curitiba;3093;122;1933105
44008;PA;Santarém;3043;161;304589
44008;RJ;Duque de Caxias;2988;412;919596
44008;SP;Diadema;2972;165;423884
44008;SP;São Vicente;2788;154;365798
44008;AM;Tefé;2743;79;59849
44008;AP;Laranjal do Jari;2732;40;50410
44008;AM;São Gabriel da Cachoeira;2646;44;45564
44008;PI;Parnaíba;2565;58;153078
44008;PE;Paulista;2561;197;331774
44008;SP;São José dos Campos;2561;86;721944
44008;MA;Açailândia;2481;51;112445
44008;SP;Praia Grande;2458;82;325073
44007;RN;Mossoró;2442;114;297378
44007;RN;Parnamirim;2429;73;261469
44008;RJ;Itaboraí;2417;121;240592
44008;AM;Parintins;2410;73;114273
44008;SC;Chapecó;2397;10;220367
44008;RS;Porto Alegre;2383;76;1483771
44008;PA;Itaituba;2344;40;101247
44007;MS;Dourados;2335;19;222949
44008;AL;Arapiraca;2323;31;231747
44008;SP;Carapicuíba;2316;143;400927
44008;PA;Abaetetuba;2276;97;157698
44007;PR;Cascavel;2246;34;328454
44008;SP;São José do Rio Preto;2236;66;460671
44008;GO;Aparecida de Goiânia;2213;41;578179
44008;BA;Itabuna;2151;54;213223
44008;SP;Mauá;2125;139;472912
44008;RJ;Angra dos Reis;2100;78;203785
44008;PA;Canaã dos Carajás;2068;24;37085
44008;RJ;Macaé;2034;73;256672
44008;SP;Barueri;1987;193;274182
44008;SP;Cubatão;1985;83;130705
44007;AC;Cruzeiro do Sul;1973;32;88376
44008;SP;Taboão da Serra;1963;125;289664
44008;MA;Zé Doca;1957;19;51714
44008;SP;Mogi das Cruzes;1902;150;445842
44008;AP;Pedra Branca do Amapari;1894;5;16502
44008;CE;Importados/Indefinidos;1827;0;
44008;BA;Feira de Santana;1809;44;614872
44008;CE;Quixadá;1809;44;87728
44008;SP;Piracicaba;1800;80;404142
44008;MA;Codó;1767;11;122859
44008;RJ;Campos dos Goytacazes;1731;83;507548
44008;MA;Chapadinha;1710;13;79675
44007;MS;Campo Grande;1704;8;895982
44008;RS;Passo Fundo;1680;42;203275
44008;PA;Bragança;1668;67;127686
44003;PB;Guarabira;1663;17;58833
44008;MA;Bacabal;1646;16;104949
44008;RJ;Volta Redonda;1633;56;273012
44008;PA;Barcarena;1615;97;124680
44008;RJ;Magé;1610;132;245071
44008;RS;Lajeado;1610;21;84014
44008;CE;Camocim;1607;59;63661
44008;RJ;Queimados;1604;28;150319
44008;RJ;São João de Meriti;1601;188;472406
44008;ES;Linhares;1597;27;173555
44008;CE;Acaraú;1581;44;62641
44008;CE;São Gonçalo do Amarante;1573;35;48422
44008;CE;Itapipoca;1569;78;129358
44008;BA;Importados/Indefinidos;1559;5;
44007;TO;Palmas;1558;16;299127
44008;SP;São Caetano do Sul;1550;78;161127
44003;PB;Cabedelo;1542;11;67736
44008;PE;Caruaru;1528;107;361118
44008;PA;Castanhal;1517;166;200793
44008;SC;Itajaí;1509;32;219536
44008;CE;Maranguape;1489;90;128978
44008;MG;Ipatinga;1482;33;263410
44008;PA;Altamira;1482;52;114594
44008;AP;Oiapoque;1474;11;27270
44008;ES;Cachoeiro de Itapemirim;1471;57;208972
