UF;municipio; populacao 
RO;Alta Floresta D'Oeste;22945
RO;Ariquemes;107863
RO;cabixi;5312
RO;cacoal;85359
RO;cerejeiras;16323
RO;colorado do Oeste;15882
RO;corumbiara;7391
RO;costa Marques;18331
RO;Espigao D'Oeste;32374
RO;Guajara-Mirim;46174
RO;Jaru;51775
RO;Ji-Parana;128969
RO;Machadinho D'Oeste;39991
RO;Nova Brasilandia D'Oeste;20474
RO;Ouro Preto do Oeste;36035
RO;Pimenta Bueno;36660
RO;Porto Velho;529544
RO;Presidente Medici;18986
RO;Rio crespo;3764
RO;Rolim de Moura;55058
RO;Santa Luzia D'Oeste;6495
RO;Vilhena;99854
RO;Sao Miguel do Guapore;23005
RO;Nova Mamore;30583
RO;Alvorada D'Oeste;14411
RO;Alto Alegre dos Parecis;13241
RO;Alto Paraiso;21428
RO;Buritis;39654
RO;Novo Horizonte do Oeste;8538
RO;cacaulandia;6230
RO;campo Novo de Rondonia;14139
RO;candeias do Jamari;26693
RO;castanheiras;3052
RO;chupinguaia;11182
RO;cujubim;25215
RO;Governador Jorge Teixeira;7767
RO;Itapua do Oeste;10458
RO;Ministro Andreazza;9660
RO;Mirante da Serra;10947
RO;Monte Negro;15852
RO;Nova Uniao;6970
RO;Parecis;6074
RO;Pimenteiras do Oeste;2169
RO;Primavera de Rondonia;2856
RO;Sao Felipe D'Oeste;5172
RO;Sao Francisco do Guapore;20266
RO;Seringueiras;11856
RO;Teixeiropolis;4308
RO;Theobroma;10444
RO;Urupa;11467
RO;Vale do Anari;11204
RO;Vale do Paraiso;6825
Ac;Acrelandia;15256
Ac;Assis Brasil;7417
Ac;Brasileia;26278
Ac;Bujari;10266
Ac;capixaba;11733
Ac;cruzeiro do Sul;88376
Ac;Epitaciolandia;18411
Ac;Feijo;34780
Ac;Jordao;8317
Ac;Mancio Lima;18977
Ac;Manoel Urbano;9459
Ac;Marechal Thaumaturgo;18867
Ac;Placido de castro;19761
Ac;Porto Walter;11982
Ac;Rio Branco;407319
Ac;Rodrigues Alves;18930
Ac;Santa Rosa do Purus;6540
Ac;Senador Guiomard;23024
Ac;Sena Madureira;45848
Ac;Tarauaca;42567
Ac;Xapuri;19323
Ac;Porto Acre;18504
AM;Alvaraes;16041
AM;Amatura;11536
AM;Anama;13614
AM;Anori;21010
AM;Apui;21973
AM;Atalaia do Norte;19921
AM;Autazes;39565
AM;Barcelos;27502
AM;Barreirinha;32041
AM;Benjamin constant;42984
AM;Beruri;19679
AM;Boa Vista do Ramos;19207
AM;Boca do Acre;34308
AM;Borba;41161
AM;caapiranga;13081
AM;canutama;15629
AM;carauari;28294
AM;careiro;37869
AM;careiro da Varzea;30225
AM;coari;85097
AM;codajas;28637
AM;Eirunepe;35273
AM;Envira;20033
AM;Fonte Boa;17609
AM;Guajara;16678
AM;Humaita;55080
AM;Ipixuna;29689
AM;Iranduba;48296
AM;Itacoatiara;101337
AM;Itamarati;7851
AM;Itapiranga;9148
AM;Japura;2755
AM;Jurua;14712
AM;Jutai;14317
AM;Labrea;46069
AM;Manacapuru;97377
AM;Manaquiri;32105
AM;Manaus;2182763
AM;Manicore;55751
AM;Maraa;18224
AM;Maues;63905
AM;Nhamunda;21173
AM;Nova Olinda do Norte;37378
AM;Novo Airao;19454
AM;Novo Aripuana;25644
AM;Parintins;114273
AM;Pauini;19426
AM;Presidente Figueiredo;36279
AM;Rio Preto da Eva;33347
AM;Santa Isabel do Rio Negro;25156
AM;Santo Antonio do Ica;21602
AM;Sao Gabriel da cachoeira;45564
AM;Sao Paulo de Olivenca;39299
AM;Sao Sebastiao do Uatuma;14020
AM;Silves;9171
AM;Tabatinga;65844
AM;Tapaua;17156
AM;Tefe;59849
AM;Tonantins;18755
AM;Uarini;13540
AM;Urucara;16256
AM;Urucurituba;23065
RR;Amajari;12796
RR;Alto Alegre;15510
RR;Boa Vista;399213
RR;Bonfim;12409
RR;canta;18335
RR;caracarai;21926
RR;caroebe;10169
RR;Iracema;11950
RR;Mucajai;17853
RR;Normandia;11290
RR;Pacaraima;17401
RR;Rorainopolis;30163
RR;Sao Joao da Baliza;8201
RR;Sao Luiz;7986
RR;Uiramuta;10559
PA;Abaetetuba;157698
PA;Abel Figueiredo;7434
PA;Acara;55591
PA;Afua;39218
PA;agua Azul do Norte;27430
PA;Alenquer;56789
PA;Almeirim;34109
PA;Altamira;114594
PA;Anajas;29277
PA;Ananindeua;530598
PA;Anapu;27890
PA;Augusto correa;45998
PA;Aurora do Para;31338
PA;Aveiro;16388
PA;Bagre;30673
PA;Baiao;47446
PA;Bannach;3286
PA;Barcarena;124680
PA;Belem;1492745
PA;Belterra;17732
PA;Benevides;62737
PA;Bom Jesus do Tocantins;16981
PA;Bonito;16286
PA;Braganca;127686
PA;Brasil Novo;15086
PA;Brejo Grande do Araguaia;7380
PA;Breu Branco;66046
PA;Breves;102701
PA;Bujaru;29132
PA;cachoeira do Piria;33900
PA;cachoeira do Arari;23767
PA;cameta;137890
PA;canaa dos carajas;37085
PA;capanema;69027
PA;capitao Poco;54303
PA;castanhal;200793
PA;chaves;23717
PA;colares;12085
PA;conceicao do Araguaia;47864
PA;concordia do Para;33318
PA;cumaru do Norte;13473
PA;curionopolis;17929
PA;curralinho;34448
PA;curua;14393
PA;curuca;40066
PA;Dom Eliseu;59719
PA;Eldorado do carajas;33808
PA;Faro;7194
PA;Floresta do Araguaia;20304
PA;Garrafao do Norte;26066
PA;Goianesia do Para;40475
PA;Gurupa;33376
PA;Igarape-Acu;38807
PA;Igarape-Miri;62698
PA;Inhangapi;11711
PA;Ipixuna do Para;64053
PA;Irituia;32550
PA;Itaituba;101247
PA;Itupiranga;53269
PA;Jacareacanga;8239
PA;Jacunda;59155
PA;Juruti;57943
PA;Limoeiro do Ajuru;28935
PA;Mae do Rio;30077
PA;Magalhaes Barata;8548
PA;Maraba;279349
PA;Maracana;29473
PA;Marapanim;28336
PA;Marituba;131521
PA;Medicilandia;31597
PA;Melgaco;27654
PA;Mocajuba;31136
PA;Moju;82094
PA;Mojui dos campos;16084
PA;Monte Alegre;58032
PA;Muana;40349
PA;Nova Esperanca do Piria;21368
PA;Nova Ipixuna;16678
PA;Nova Timboteua;15363
PA;Novo Progresso;25762
PA;Novo Repartimento;75919
PA;obidos;52137
PA;Oeiras do Para;32512
PA;Oriximina;73096
PA;Ourem;17842
PA;Ourilandia do Norte;32832
PA;Pacaja;47706
PA;Palestina do Para;7589
PA;Paragominas;113145
PA;Parauapebas;208273
PA;Pau D'Arco;5483
PA;Peixe-Boi;8077
PA;Picarra;12981
PA;Placas;30982
PA;Ponta de Pedras;31082
PA;Portel;62043
PA;Porto de Moz;41135
PA;Prainha;29866
PA;Primavera;10825
PA;Quatipuru;13608
PA;Redencao;84787
PA;Rio Maria;18193
PA;Rondon do Para;52357
PA;Ruropolis;50510
PA;Salinopolis;40675
PA;Salvaterra;23752
PA;Santa Barbara do Para;21079
PA;Santa cruz do Arari;10128
PA;Santa Izabel do Para;70801
PA;Santa Luzia do Para;19848
PA;Santa Maria das Barreiras;21449
PA;Santa Maria do Para;24861
PA;Santana do Araguaia;72817
PA;Santarem;304589
PA;Santarem Novo;6709
PA;Santo Antonio do Taua;31482
PA;Sao caetano de Odivelas;18050
PA;Sao Domingos do Araguaia;25557
PA;Sao Domingos do capim;31989
PA;Sao Felix do Xingu;128481
PA;Sao Francisco do Para;15882
PA;Sao Geraldo do Araguaia;24847
PA;Sao Joao da Ponta;6139
PA;Sao Joao de Pirabas;23045
PA;Sao Joao do Araguaia;13996
PA;Sao Miguel do Guama;58986
PA;Sao Sebastiao da Boa Vista;26640
PA;Sapucaia;5930
PA;Senador Jose Porfirio;11658
PA;Soure;25374
PA;Tailandia;106339
PA;Terra Alta;11720
PA;Terra Santa;18769
PA;Tome-Acu;63447
PA;Tracuateua;30959
PA;Trairao;18989
PA;Tucuma;39602
PA;Tucurui;113659
PA;Ulianopolis;59210
PA;Uruara;45476
PA;Vigia;53686
PA;Viseu;61403
PA;Vitoria do Xingu;15134
PA;Xinguara;44751
AP;Serra do Navio;5397
AP;Amapa;9109
AP;Pedra Branca do Amapari;16502
AP;calcoene;11117
AP;cutias;5983
AP;Ferreira Gomes;7780
AP;Itaubal;5503
AP;Laranjal do Jari;50410
AP;Macapa;503327
AP;Mazagao;21632
AP;Oiapoque;27270
AP;Porto Grande;21971
AP;Pracuuba;5120
AP;Santana;121364
AP;Tartarugalzinho;17315
AP;Vitoria do Jari;15931
TO;Abreulandia;2579
TO;Aguiarnopolis;6733
TO;Alianca do Tocantins;5390
TO;Almas;7055
TO;Alvorada;8412
TO;Ananas;9549
TO;Angico;3433
TO;Aparecida do Rio Negro;4795
TO;Aragominas;5758
TO;Araguacema;7086
TO;Araguacu;8517
TO;Araguaina;180470
TO;Araguana;5729
TO;Araguatins;35761
TO;Arapoema;6643
TO;Arraias;10567
TO;Augustinopolis;18412
TO;Aurora do Tocantins;3757
TO;Axixa do Tocantins;9756
TO;Babaculandia;10664
TO;Bandeirantes do Tocantins;3553
TO;Barra do Ouro;4591
TO;Barrolandia;5632
TO;Bernardo Sayao;4459
TO;Bom Jesus do Tocantins;4894
TO;Brasilandia do Tocantins;2201
